session_date,direction,entry_price,entry_time,stop,target,exit_price,exit_time,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_usd
2024-11-21,short,20847.0,2024-11-21 17:44:00+00:00,20860.0,20835.75,20835.75,2024-11-21 17:48:00+00:00,target,13.0,11.25,11.25,225.0
2024-11-22,short,20798.25,2024-11-22 15:38:00+00:00,20820.0,20794.25,20820.0,2024-11-22 15:40:00+00:00,stop,21.75,4.0,-21.75,-435.0
2024-11-28,short,20887.5,2024-11-28 16:38:00+00:00,20892.0,20873.75,20892.0,2024-11-28 17:06:00+00:00,stop,4.5,13.75,-4.5,-90.0
2024-11-29,short,20834.0,2024-11-29 14:00:00+00:00,20836.75,20833.25,20836.75,2024-11-29 14:02:00+00:00,stop,2.75,0.75,-2.75,-55.0
2024-12-03,long,21205.5,2024-12-03 15:04:00+00:00,21203.75,21215.75,21215.75,2024-12-03 15:06:00+00:00,target,1.75,10.25,10.25,205.0
2024-12-09,long,21625.0,2024-12-09 14:24:00+00:00,21622.25,21627.5,21627.5,2024-12-09 14:26:00+00:00,target,2.75,2.5,2.5,50.0
2024-12-12,long,21671.25,2024-12-12 13:56:00+00:00,21668.75,21704.75,21668.75,2024-12-12 13:58:00+00:00,stop,2.5,33.5,-2.5,-50.0
2024-12-13,long,21773.5,2024-12-13 19:12:00+00:00,21739.0,21841.75,21782.0,2024-12-13 21:00:00+00:00,eod,34.5,68.25,8.5,170.0
2024-12-18,long,22322.5,2024-12-18 15:58:00+00:00,22309.0,22339.25,22339.25,2024-12-18 16:06:00+00:00,target,13.5,16.75,16.75,335.0
2024-12-20,long,21525.0,2024-12-20 20:56:00+00:00,21425.0,21529.75,21529.75,2024-12-20 20:58:00+00:00,target,100.0,4.75,4.75,95.0
2025-01-02,short,21435.25,2025-01-02 15:04:00+00:00,21439.75,21413.75,21413.75,2025-01-02 15:06:00+00:00,target,4.5,21.5,21.5,430.0
2025-01-03,short,21336.0,2025-01-03 15:24:00+00:00,21340.75,21263.5,21340.75,2025-01-03 15:26:00+00:00,stop,4.75,72.5,-4.75,-95.0
2025-01-08,short,21239.5,2025-01-08 17:42:00+00:00,21333.0,21236.5,21236.5,2025-01-08 17:46:00+00:00,target,93.5,3.0,3.0,60.0
2025-01-14,short,21047.75,2025-01-14 14:04:00+00:00,21134.25,21045.25,21045.25,2025-01-14 14:06:00+00:00,target,86.5,2.5,2.5,50.0
2025-01-21,short,21612.5,2025-01-21 15:20:00+00:00,21652.0,21610.0,21610.0,2025-01-21 15:22:00+00:00,target,39.5,2.5,2.5,50.0
2025-01-24,short,22013.5,2025-01-24 15:18:00+00:00,22051.5,22010.5,22010.5,2025-01-24 15:20:00+00:00,target,38.0,3.0,3.0,60.0
2025-02-05,long,21535.5,2025-02-05 14:18:00+00:00,21513.0,21536.0,21536.0,2025-02-05 14:20:00+00:00,target,22.5,0.5,0.5,10.0
2025-02-06,long,21761.75,2025-02-06 14:12:00+00:00,21748.25,21769.5,21769.5,2025-02-06 14:18:00+00:00,target,13.5,7.75,7.75,155.0
2025-02-13,long,21872.75,2025-02-13 14:38:00+00:00,21787.25,21873.0,21873.0,2025-02-13 14:42:00+00:00,target,85.5,0.25,0.25,5.0
2025-02-28,short,20680.0,2025-02-28 19:38:00+00:00,20684.0,20561.5,20684.0,2025-02-28 19:40:00+00:00,stop,4.0,118.5,-4.0,-80.0
