session_date,direction,entry_price,entry_time,stop,target,exit_price,exit_time,exit_reason,risk_pts,reward_pts,pnl_pts,pnl_usd
2024-11-08,long,21222.25,2024-11-08 16:58:00+00:00,21202.5,21251.88,21202.5,2024-11-08 17:12:00+00:00,stop,19.75,29.62,-19.75,-395.0
2024-11-21,short,20649.0,2024-11-21 15:12:00+00:00,20834.25,20371.12,20834.25,2024-11-21 17:42:00+00:00,stop,185.25,277.88,-185.25,-3705.0
2024-11-22,short,20798.25,2024-11-22 15:38:00+00:00,20814.75,20773.5,20814.75,2024-11-22 15:40:00+00:00,stop,16.5,24.75,-16.5,-330.0
2024-12-12,long,21686.25,2024-12-12 16:44:00+00:00,21672.75,21706.5,21672.75,2024-12-12 16:58:00+00:00,stop,13.5,20.25,-13.5,-270.0
2025-01-03,short,21336.0,2025-01-03 15:24:00+00:00,21361.25,21298.12,21298.12,2025-01-03 15:30:00+00:00,target,25.25,37.88,37.88,757.5
2025-01-08,short,21239.5,2025-01-08 17:42:00+00:00,21398.5,21001.0,21398.5,2025-01-08 18:28:00+00:00,stop,159.0,238.5,-159.0,-3180.0
2025-01-14,short,21047.75,2025-01-14 15:06:00+00:00,21088.5,20986.62,21088.5,2025-01-14 15:10:00+00:00,stop,40.75,61.12,-40.75,-815.0
2025-01-16,short,21443.75,2025-01-16 16:02:00+00:00,21452.75,21430.25,21430.25,2025-01-16 16:04:00+00:00,target,9.0,13.5,13.5,270.0
2025-01-20,short,21678.0,2025-01-20 15:48:00+00:00,21682.5,21671.25,21682.5,2025-01-20 15:50:00+00:00,stop,4.5,6.75,-4.5,-90.0
2025-02-05,long,21563.0,2025-02-05 15:02:00+00:00,21547.25,21586.62,21547.25,2025-02-05 15:04:00+00:00,stop,15.75,23.62,-15.75,-315.0
2025-02-06,long,21770.0,2025-02-06 15:02:00+00:00,21749.75,21800.38,21800.38,2025-02-06 15:08:00+00:00,target,20.25,30.38,30.38,607.5
2025-02-12,long,21694.75,2025-02-12 15:28:00+00:00,21665.25,21739.0,21739.0,2025-02-12 15:36:00+00:00,target,29.5,44.25,44.25,885.0
2025-02-13,long,21894.75,2025-02-13 15:06:00+00:00,21845.0,21969.38,21969.38,2025-02-13 15:18:00+00:00,target,49.75,74.62,74.62,1492.5
2025-02-26,short,21211.5,2025-02-26 20:44:00+00:00,21228.0,21186.75,21186.75,2025-02-26 20:46:00+00:00,target,16.5,24.75,24.75,495.0
2025-02-27,short,21141.25,2025-02-27 15:22:00+00:00,21332.5,20854.38,20854.38,2025-02-27 19:32:00+00:00,target,191.25,286.88,286.88,5737.5
2025-02-28,short,20680.0,2025-02-28 19:38:00+00:00,20680.5,20679.25,20679.25,2025-02-28 19:40:00+00:00,target,0.5,0.75,0.75,15.0
2025-03-03,short,20901.0,2025-03-03 15:22:00+00:00,21117.5,20576.25,20576.25,2025-03-03 20:00:00+00:00,target,216.5,324.75,324.75,6495.0
2025-03-18,short,19774.75,2025-03-18 18:52:00+00:00,19858.0,19649.88,19726.0,2025-03-18 20:00:00+00:00,eod,83.25,124.88,48.75,975.0
2025-03-19,short,19753.75,2025-03-19 13:46:00+00:00,19783.5,19709.12,19783.5,2025-03-19 13:48:00+00:00,stop,29.75,44.62,-29.75,-595.0
2025-03-27,short,20027.0,2025-03-27 17:02:00+00:00,20101.25,19915.62,20101.25,2025-03-27 18:42:00+00:00,stop,74.25,111.38,-74.25,-1485.0
2025-04-01,short,19327.75,2025-04-01 14:22:00+00:00,19407.0,19208.88,19407.0,2025-04-01 14:38:00+00:00,stop,79.25,118.88,-79.25,-1585.0
2025-04-11,short,18582.75,2025-04-11 14:06:00+00:00,18597.75,18560.25,18560.25,2025-04-11 14:08:00+00:00,target,15.0,22.5,22.5,450.0
2025-04-14,short,19028.25,2025-04-14 18:42:00+00:00,19053.25,18990.75,19053.25,2025-04-14 19:06:00+00:00,stop,25.0,37.5,-25.0,-500.0
2025-04-15,short,19077.75,2025-04-15 15:20:00+00:00,19095.0,19051.88,19051.88,2025-04-15 15:24:00+00:00,target,17.25,25.88,25.88,517.5
2025-04-28,short,19465.75,2025-04-28 19:06:00+00:00,19589.0,19280.88,19501.5,2025-04-28 20:00:00+00:00,eod,123.25,184.88,-35.75,-715.0
2025-04-29,long,19541.75,2025-04-29 14:16:00+00:00,19455.0,19671.88,19671.88,2025-04-29 18:04:00+00:00,target,86.75,130.12,130.12,2602.5
2025-05-01,long,19924.25,2025-05-01 16:16:00+00:00,19868.0,20008.62,20008.62,2025-05-01 17:06:00+00:00,target,56.25,84.38,84.38,1687.5
2025-05-05,long,20030.25,2025-05-05 14:06:00+00:00,20019.75,20046.0,20046.0,2025-05-05 14:08:00+00:00,target,10.5,15.75,15.75,315.0
2025-05-08,short,20096.0,2025-05-08 13:56:00+00:00,20133.75,20039.38,20039.38,2025-05-08 14:12:00+00:00,target,37.75,56.62,56.62,1132.5
2025-05-16,long,21390.0,2025-05-16 14:58:00+00:00,21372.75,21415.88,21415.88,2025-05-16 15:30:00+00:00,target,17.25,25.88,25.88,517.5
2025-05-20,long,21412.0,2025-05-20 14:58:00+00:00,21372.75,21470.88,21470.88,2025-05-20 16:44:00+00:00,target,39.25,58.88,58.88,1177.5
2025-05-22,long,21186.0,2025-05-22 14:54:00+00:00,21130.5,21269.25,21269.25,2025-05-22 15:44:00+00:00,target,55.5,83.25,83.25,1665.0
2025-05-28,long,21481.25,2025-05-28 17:22:00+00:00,21453.5,21522.88,21453.5,2025-05-28 18:50:00+00:00,stop,27.75,41.62,-27.75,-555.0
2025-05-30,long,21322.25,2025-05-30 15:18:00+00:00,21298.5,21357.88,21357.88,2025-05-30 15:26:00+00:00,target,23.75,35.62,35.62,712.5
2025-06-10,long,21875.25,2025-06-10 17:40:00+00:00,21823.25,21953.25,21823.25,2025-06-10 18:00:00+00:00,stop,52.0,78.0,-52.0,-1040.0
2025-06-27,short,22704.5,2025-06-27 19:40:00+00:00,22713.5,22691.0,22713.5,2025-06-27 19:46:00+00:00,stop,9.0,13.5,-9.0,-180.0
2025-06-30,short,22817.25,2025-06-30 18:44:00+00:00,22847.0,22772.62,22847.0,2025-06-30 18:56:00+00:00,stop,29.75,44.62,-29.75,-595.0
2025-07-10,long,23040.0,2025-07-10 18:20:00+00:00,23026.0,23061.0,23026.0,2025-07-10 18:44:00+00:00,stop,14.0,21.0,-14.0,-280.0
2025-07-16,long,22995.0,2025-07-16 14:24:00+00:00,22970.0,23032.5,23032.5,2025-07-16 14:50:00+00:00,target,25.0,37.5,37.5,750.0
2025-07-24,long,23391.75,2025-07-24 17:28:00+00:00,23378.75,23411.25,23411.25,2025-07-24 18:10:00+00:00,target,13.0,19.5,19.5,390.0
2025-07-25,long,23402.75,2025-07-25 14:14:00+00:00,23363.5,23461.62,23461.62,2025-07-25 16:24:00+00:00,target,39.25,58.88,58.88,1177.5
2025-08-05,long,23363.0,2025-08-05 13:50:00+00:00,23306.5,23447.75,23306.5,2025-08-05 14:16:00+00:00,stop,56.5,84.75,-56.5,-1130.0
2025-08-11,long,23729.75,2025-08-11 14:04:00+00:00,23701.0,23772.88,23772.88,2025-08-11 16:06:00+00:00,target,28.75,43.12,43.12,862.5
